model,waic,se_waic,waic_weight,looic,se_looic,loo_weight
full_model,13200.4874951323,84.0605518246569,0.9986,13201.9995265394,84.074665349952,0.9987
null_model,13213.6044840203,83.7551868305886,0.0014,13215.2856121393,83.7701452337362,0.0013
