model,waic,se_waic,waic_weight,looic,se_looic,loo_weight
full_model,13200.4874951323,84.0605518246569,0.6552,13201.9995265394,84.074665349952,0.6596
int_model,13201.7770532197,84.0522784912065,0.3438,13203.3276071032,84.0671150172534,0.3395
null_model,13213.6044840203,83.7551868305886,9e-4,13215.2856121393,83.7701452337362,9e-4
