model,waic,se_waic,waic_weight,looic,se_looic,loo_weight
base_model,14140.6199767788,87.1294337089172,0.8592,14141.9003538606,87.1415506089777,0.8617
no_phylogeny_model,14144.2371754248,87.0655625354324,0.1408,14145.5586956445,87.0780623011455,0.1383
